name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KR05C12,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C13,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C14,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C15,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C16,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C17,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C18,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C19,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C20,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C21,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C22,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C23,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C24,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C25,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C26,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C27,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C28,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C29,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C30,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C31,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C32,2.30103,0.5,1.30103,3.30103,2.30103,0.499999,1.30103,3.30103
KR05C33,2.30103,0.5,1.30103,3.30103,2.30103,0.499997,1.30104,3.30102
KR05C34,2.30103,0.5,1.30103,3.30103,2.30103,0.499994,1.30104,3.30102
KR05C35,2.30103,0.5,1.30103,3.30103,2.30103,0.49999,1.30105,3.30101
KR05C36,2.30103,0.5,1.30103,3.30103,2.30103,0.49995,1.30113,3.30093
KR05C37,2.30103,0.5,1.30103,3.30103,2.30103,0.499916,1.3012,3.30086
KR05C38,2.30103,0.5,1.30103,3.30103,2.30103,0.499911,1.30121,3.30085
KR05C39,2.30103,0.5,1.30103,3.30103,2.30103,0.499911,1.30121,3.30085
KR05C40,2.30103,0.5,1.30103,3.30103,2.30103,0.499922,1.30119,3.30087
KR05C41,2.30103,0.5,1.30103,3.30103,2.30103,0.499905,1.30122,3.30084
KR05C42,2.30103,0.5,1.30103,3.30103,2.30103,0.499881,1.30127,3.30079
KR05C43,2.30103,0.5,1.30103,3.30103,2.30103,0.49988,1.30127,3.30079
KR05C44,2.30103,0.5,1.30103,3.30103,2.30103,0.499881,1.30127,3.30079
KR05C45,2.30103,0.5,1.30103,3.30103,2.30103,0.499896,1.30124,3.30082
KR05C46,2.30103,0.5,1.30103,3.30103,2.30103,0.499882,1.30127,3.30079
KR05C47,2.30103,0.5,1.30103,3.30103,2.30103,0.499861,1.30131,3.30075
KR05C48,2.30103,0.5,1.30103,3.30103,2.30103,0.499864,1.3013,3.30076
KR05C49,2.30103,0.5,1.30103,3.30103,2.30103,0.499874,1.30128,3.30078
KR05C50,2.30103,0.5,1.30103,3.30103,2.30103,0.4999,1.30123,3.30083
KR05C51,2.30103,0.5,1.30103,3.30103,2.30103,0.499889,1.30125,3.30081
KR05C52,2.30103,0.5,1.30103,3.30103,2.30103,0.499879,1.30127,3.30079
KR05C53,2.30103,0.5,1.30103,3.30103,2.30103,0.499859,1.30131,3.30075
KR05C54,2.30103,0.5,1.30103,3.30103,2.30103,0.499749,1.30153,3.30053
KR05C55,2.30103,0.5,1.30103,3.30103,2.30103,0.499427,1.30218,3.29988
KR05C56,2.30103,0.5,1.30103,3.30103,2.30103,0.49897,1.30309,3.29897
KR05C57,2.30103,0.5,1.30103,3.30103,2.30103,0.498819,1.30339,3.29867
KR05C58,2.30103,0.5,1.30103,3.30103,2.30103,0.498896,1.30324,3.29882
KR05C59,2.30103,0.5,1.30103,3.30103,2.30103,0.499187,1.30266,3.2994
KR05C60,2.30103,0.5,1.30103,3.30103,2.30103,0.499748,1.30153,3.30053
KR06C01,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR06C02,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR06C03,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR06C04,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
